num_features,criterion,max_depth,max_leaf_nodes,min_impurity_decrease,ccp_alpha,train_accuracy,test_accuracy,selected_features
8,gini,5.0,,0.0,0.0,0.5052950075642966,0.5120481927710844,"['LipThickness', 'Forehead', 'FaceShape', 'Heartshapeness', 'EyeShape', 'CheekboneHeight', 'EyeWidthAsym', 'MidbrowHairlineAsym']"
3,gini,5.0,,0.0,0.0,0.49016641452344933,0.4939759036144578,"['LipThickness', 'EyeWidthAsym', 'MidbrowHairlineAsym']"
18,gini,5.0,,0.0,0.0,0.5249621785173979,0.4939759036144578,"['LipThickness', 'FaceWidthCheeks', 'Forehead', 'UpperFaceLength2', 'BottomLipChin', 'FaceShape', 'Heartshapeness', 'LipFullness', 'EyeShape', 'MidfaceLength', 'CheekboneHeight', 'CheekboneProminence', 'FaceRoundness', 'EyeHeightAsym', 'EyeWidthAsym', 'PupilTopAsym', 'MidbrowHairlineAsym', 'MidcheekChinAsym']"
19,gini,5.0,,0.0,0.0,0.5249621785173979,0.4939759036144578,"['LipThickness', 'FaceLength', 'FaceWidthCheeks', 'Forehead', 'UpperFaceLength2', 'BottomLipChin', 'FaceShape', 'Heartshapeness', 'LipFullness', 'EyeShape', 'MidfaceLength', 'CheekboneHeight', 'CheekboneProminence', 'FaceRoundness', 'EyeHeightAsym', 'EyeWidthAsym', 'PupilTopAsym', 'MidbrowHairlineAsym', 'MidcheekChinAsym']"
3,gini,,,0.0,0.05,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,,,0.01,0.05,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,,,0.05,0.0,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,,,0.05,0.01,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,,,0.05,0.05,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,5.0,,0.0,0.05,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,5.0,,0.01,0.05,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,5.0,,0.05,0.0,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,5.0,,0.05,0.01,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,5.0,,0.05,0.05,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,7.0,,0.0,0.05,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,7.0,,0.01,0.05,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,7.0,,0.05,0.0,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,7.0,,0.05,0.01,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,7.0,,0.05,0.05,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,10.0,,0.0,0.05,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,10.0,,0.01,0.05,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,10.0,,0.05,0.0,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,10.0,,0.05,0.01,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,gini,10.0,,0.05,0.05,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks']"
3,entropy,,,0.0,0.05,0.4175491679273828,0.4759036144578313,"['BottomLipChin', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,,,0.01,0.05,0.4175491679273828,0.4759036144578313,"['BottomLipChin', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,,,0.05,0.0,0.4175491679273828,0.4759036144578313,"['Heartshapeness', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,,,0.05,0.01,0.4175491679273828,0.4759036144578313,"['Heartshapeness', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,,,0.05,0.05,0.4175491679273828,0.4759036144578313,"['Heartshapeness', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,5.0,,0.0,0.05,0.4175491679273828,0.4759036144578313,"['BottomLipChin', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,5.0,,0.01,0.05,0.4175491679273828,0.4759036144578313,"['BottomLipChin', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,5.0,,0.05,0.0,0.4175491679273828,0.4759036144578313,"['Heartshapeness', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,5.0,,0.05,0.01,0.4175491679273828,0.4759036144578313,"['Heartshapeness', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,5.0,,0.05,0.05,0.4175491679273828,0.4759036144578313,"['Heartshapeness', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,7.0,,0.0,0.05,0.4175491679273828,0.4759036144578313,"['BottomLipChin', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,7.0,,0.01,0.05,0.4175491679273828,0.4759036144578313,"['BottomLipChin', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,7.0,,0.05,0.0,0.4175491679273828,0.4759036144578313,"['Heartshapeness', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,7.0,,0.05,0.01,0.4175491679273828,0.4759036144578313,"['Heartshapeness', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,7.0,,0.05,0.05,0.4175491679273828,0.4759036144578313,"['Heartshapeness', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,10.0,,0.0,0.05,0.4175491679273828,0.4759036144578313,"['BottomLipChin', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,10.0,,0.01,0.05,0.4175491679273828,0.4759036144578313,"['BottomLipChin', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,10.0,,0.05,0.0,0.4175491679273828,0.4759036144578313,"['Heartshapeness', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,10.0,,0.05,0.01,0.4175491679273828,0.4759036144578313,"['Heartshapeness', 'CheekboneProminence', 'GenderSelf_F']"
3,entropy,10.0,,0.05,0.05,0.4175491679273828,0.4759036144578313,"['Heartshapeness', 'CheekboneProminence', 'GenderSelf_F']"
4,gini,,,0.0,0.05,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks', 'FaceWidthMouth']"
4,gini,,,0.01,0.05,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks', 'FaceWidthMouth']"
4,gini,,,0.05,0.0,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks', 'FaceWidthMouth']"
4,gini,,,0.05,0.01,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks', 'FaceWidthMouth']"
4,gini,,,0.05,0.05,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks', 'FaceWidthMouth']"
4,gini,5.0,,0.0,0.05,0.4175491679273828,0.4759036144578313,"['LipThickness', 'FaceLength', 'FaceWidthCheeks', 'FaceWidthMouth']"
