num_features,criterion,max_depth,max_leaf_nodes,min_impurity_decrease,ccp_alpha,train_accuracy,test_accuracy,selected_features
17,entropy,,,0.0,0.0,1.0,0.49411764705882355,"['LipThickness', 'FaceWidthCheeks', 'FaceWidthBZ', 'Forehead', 'UpperFaceLength2', 'FaceShape', 'Heartshapeness', 'NoseShape', 'LipFullness', 'ForeheadHeight', 'CheekboneProminence', 'FaceRoundness', 'EyeWidthAsym', 'PupilTopAsym', 'PupilLipAsym', 'MidbrowHairlineAsym', 'NoseRatio']"
22,gini,,,0.0,0.01,0.6279761904761905,0.49411764705882355,"['LipThickness', 'FaceLength', 'FaceWidthMouth', 'FaceWidthBZ', 'Forehead', 'FaceShape', 'Heartshapeness', 'NoseShape', 'LipFullness', 'EyeShape', 'MidfaceLength', 'ChinLength', 'ForeheadHeight', 'CheekboneHeight', 'CheekboneProminence', 'fWHR2', 'EyeHeightAsym', 'EyeWidthAsym', 'PupilTopAsym', 'PupilLipAsym', 'MidbrowHairlineAsym', 'NoseRatio']"
23,gini,,,0.0,0.01,0.6279761904761905,0.49411764705882355,"['LipThickness', 'FaceLength', 'FaceWidthMouth', 'FaceWidthBZ', 'Forehead', 'FaceShape', 'Heartshapeness', 'NoseShape', 'LipFullness', 'EyeShape', 'UpperHeadLength', 'MidfaceLength', 'ChinLength', 'ForeheadHeight', 'CheekboneHeight', 'CheekboneProminence', 'fWHR2', 'EyeHeightAsym', 'EyeWidthAsym', 'PupilTopAsym', 'PupilLipAsym', 'MidbrowHairlineAsym', 'NoseRatio']"
26,gini,,,0.0,0.01,0.6279761904761905,0.49411764705882355,"['LipThickness', 'FaceLength', 'FaceWidthCheeks', 'FaceWidthMouth', 'FaceWidthBZ', 'Forehead', 'FaceShape', 'Heartshapeness', 'NoseShape', 'LipFullness', 'EyeShape', 'EyeSize', 'UpperHeadLength', 'MidfaceLength', 'ChinLength', 'ForeheadHeight', 'CheekboneHeight', 'CheekboneProminence', 'FaceRoundness', 'fWHR2', 'EyeHeightAsym', 'EyeWidthAsym', 'PupilTopAsym', 'PupilLipAsym', 'MidbrowHairlineAsym', 'NoseRatio']"
27,gini,,,0.0,0.01,0.6279761904761905,0.49411764705882355,"['LipThickness', 'FaceLength', 'FaceWidthCheeks', 'FaceWidthMouth', 'FaceWidthBZ', 'Forehead', 'BottomLipChin', 'FaceShape', 'Heartshapeness', 'NoseShape', 'LipFullness', 'EyeShape', 'EyeSize', 'UpperHeadLength', 'MidfaceLength', 'ChinLength', 'ForeheadHeight', 'CheekboneHeight', 'CheekboneProminence', 'FaceRoundness', 'fWHR2', 'EyeHeightAsym', 'EyeWidthAsym', 'PupilTopAsym', 'PupilLipAsym', 'MidbrowHairlineAsym', 'NoseRatio']"
28,gini,,,0.0,0.01,0.6279761904761905,0.49411764705882355,"['LipThickness', 'FaceLength', 'FaceWidthCheeks', 'FaceWidthMouth', 'FaceWidthBZ', 'Forehead', 'UpperFaceLength2', 'BottomLipChin', 'FaceShape', 'Heartshapeness', 'NoseShape', 'LipFullness', 'EyeShape', 'EyeSize', 'UpperHeadLength', 'MidfaceLength', 'ChinLength', 'ForeheadHeight', 'CheekboneHeight', 'CheekboneProminence', 'FaceRoundness', 'fWHR2', 'EyeHeightAsym', 'EyeWidthAsym', 'PupilTopAsym', 'PupilLipAsym', 'MidbrowHairlineAsym', 'NoseRatio']"
20,entropy,10.0,,0.0,0.0,0.8511904761904762,0.4823529411764706,"['LipThickness', 'FaceLength', 'FaceWidthCheeks', 'FaceWidthMouth', 'FaceWidthBZ', 'UpperFaceLength2', 'FaceShape', 'Heartshapeness', 'NoseShape', 'LipFullness', 'EyeShape', 'EyeSize', 'ForeheadHeight', 'CheekboneHeight', 'FaceRoundness', 'fWHR2', 'EyeHeightAsym', 'PupilTopAsym', 'PupilLipAsym', 'NoseRatio']"
24,entropy,5.0,,0.0,0.01,0.5744047619047619,0.4823529411764706,"['LipThickness', 'FaceLength', 'FaceWidthCheeks', 'FaceWidthMouth', 'FaceWidthBZ', 'Forehead', 'FaceShape', 'Heartshapeness', 'NoseShape', 'LipFullness', 'EyeShape', 'EyeSize', 'UpperHeadLength', 'MidfaceLength', 'ForeheadHeight', 'CheekboneHeight', 'CheekboneProminence', 'FaceRoundness', 'fWHR2', 'EyeWidthAsym', 'PupilTopAsym', 'PupilLipAsym', 'MidbrowHairlineAsym', 'NoseRatio']"
24,entropy,5.0,,0.01,0.0,0.5744047619047619,0.4823529411764706,"['LipThickness', 'FaceLength', 'FaceWidthCheeks', 'FaceWidthMouth', 'FaceWidthBZ', 'Forehead', 'FaceShape', 'Heartshapeness', 'NoseShape', 'LipFullness', 'EyeShape', 'EyeSize', 'UpperHeadLength', 'MidfaceLength', 'ForeheadHeight', 'CheekboneHeight', 'CheekboneProminence', 'FaceRoundness', 'fWHR2', 'EyeWidthAsym', 'PupilTopAsym', 'PupilLipAsym', 'MidbrowHairlineAsym', 'NoseRatio']"
24,entropy,5.0,,0.01,0.01,0.5744047619047619,0.4823529411764706,"['LipThickness', 'FaceLength', 'FaceWidthCheeks', 'FaceWidthMouth', 'FaceWidthBZ', 'Forehead', 'FaceShape', 'Heartshapeness', 'NoseShape', 'LipFullness', 'EyeShape', 'EyeSize', 'UpperHeadLength', 'MidfaceLength', 'ForeheadHeight', 'CheekboneHeight', 'CheekboneProminence', 'FaceRoundness', 'fWHR2', 'EyeWidthAsym', 'PupilTopAsym', 'PupilLipAsym', 'MidbrowHairlineAsym', 'NoseRatio']"
